feature,mean_abs_shap
retention_risk_score,0.03627967567418261
days_since_last_login,0.031101728422264788
customer_health_score,0.027497403159330473
pricing_sensitivity_score,0.025550043258041867
support_ticket_sentiment,0.024159412199837953
days_since_last_core_action,0.02235494858753471
support_sentiment,0.020212669613355324
engagement_decay_score,0.018388190618878877
billing_page_visits,0.018085554946958696
velocity_30d_vs_90d,0.012874262403236662
friction_score,0.012475034414409968
seat_limit_usage,0.009032176179338401
downgrade_page_visits,0.008693555629721636
login_frequency_change,0.00730987346016335
session_duration_change,0.006851840989011013
error_rate,0.005416755474413674
sessions_30d,0.005267906913827805
api_usage,0.004918618890076887
tier_capacity_utilization,0.004914464323461718
tenure_months,0.0049098836895566916
growth_pressure_score,0.00440466756267149
log_monthly_revenue,0.0043188958692048285
monthly_revenue,0.0042116719659994525
export_frequency,0.004200760705691673
api_limit_usage,0.00365896862338612
sessions_90d,0.0036268142483688575
invoice_download_frequency,0.0035935249551820826
log_api_usage,0.0032331837922284826
failed_api_calls,0.002828496390324447
tenure_bucket,0.002434834243851562
ticket_count,0.0018682487355880053
ticket_density_30d,0.001755350982966413
rage_click_count,0.0011394949360597941
subscription_tier,0.0009786512297658848
